Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
27209,420436,440143,2,14-Jan-09,712,A,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,38,Car
27309,432998,436045,1,16-Jan-09,15,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Serious,Male,38,Motorcycle over 500cc
29709,421375,440473,2,09-Jan-09,1550,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Bus or coach (17 or more passenger seats)
29709,421375,440473,2,09-Jan-09,1550,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,79,Bus or coach (17 or more passenger seats)
29909,428061,435959,2,14-Jan-09,845,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,26,Pedal cycle
30009,430226,433202,1,11-Jan-09,158,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,20,Taxi/Private hire car
30409,430330,433321,2,16-Jan-09,1404,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Bus or coach (17 or more passenger seats)
30409,430330,433321,2,16-Jan-09,1404,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,53,Bus or coach (17 or more passenger seats)
32209,429595,434697,2,17-Jan-09,1215,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,90,Other Vehicle 
33609,435121,433538,1,17-Jan-09,1115,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Bus or coach (17 or more passenger seats)
34509,431969,435825,2,15-Jan-09,640,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,53,Car
34909,434620,441225,2,17-Jan-09,2125,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,18,Car
34909,434620,441225,2,17-Jan-09,2125,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,23,Car
34909,434620,441225,2,17-Jan-09,2125,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,17,Car
34909,434620,441225,2,17-Jan-09,2125,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,17,Car
35009,424244,428689,2,14-Jan-09,1737,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,16,M/cycle 50cc and under
35209,430530,440743,2,18-Jan-09,1825,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,47,Car
35509,425747,431487,2,12-Jan-09,1240,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
35909,439996,437096,1,17-Jan-09,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,69,Bus or coach (17 or more passenger seats)
36409,425924,435145,2,08-Jan-09,1656,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Motorcycle over 125cc and up to 500cc
36509,430189,431710,1,16-Jan-09,1338,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Motorcycle over 50cc and up to 125cc
36909,431404,435026,2,15-Jan-09,1935,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,43,Car
37009,418301,441336,2,14-Jan-09,1753,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Serious,Male,37,Pedal cycle
37209,430459,435623,4,15-Jan-09,740,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,16,Car
37309,427887,440270,2,15-Jan-09,1335,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,75,Pedal cycle
37409,434107,433901,2,15-Jan-09,910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Car
37509,430324,433288,4,17-Jan-09,133,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,19,Car
39009,431864,429760,2,17-Jan-09,1001,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,39,Goods vehicle 3.5 tonnes mgw and under
39409,429941,425130,2,17-Jan-09,1505,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Car
39409,429941,425130,2,17-Jan-09,1505,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
39509,432733,427496,1,19-Jan-09,817,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,12,Car
40909,436189,434322,2,19-Jan-09,1154,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car
40909,436189,434322,2,19-Jan-09,1154,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,84,Bus or coach (17 or more passenger seats)
41109,436067,436616,2,19-Jan-09,1800,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,21,Car
41309,440894,433571,2,19-Jan-09,1655,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Female,55,Car
42009,428344,431608,2,15-Jan-09,1330,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car
42909,424910,439707,2,19-Jan-09,902,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,37,Car
42909,424910,439707,2,19-Jan-09,902,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,34,Car
